Time (sec), Heater 1 (%), Temperature 1 (degC), Heater 2 (%), Temperature 2 (degC)
9.276946687698364258e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.471000000000000085e+01,2.376999999999999957e+01
9.575982689857482910e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.554999999999999716e+01,2.430999999999999872e+01
9.875439071655273438e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.657999999999999829e+01,2.485999999999999943e+01
1.017489428520202637e+02,1.000000000000000000e+02,6.000000000000000000e+01,4.742000000000000171e+01,2.525000000000000000e+01
1.047436878681182861e+02,1.000000000000000000e+02,6.000000000000000000e+01,4.828999999999999915e+01,2.582999999999999829e+01
1.077364859580993652e+02,1.000000000000000000e+02,6.000000000000000000e+01,4.913000000000000256e+01,2.651000000000000156e+01
1.107316250801086426e+02,1.000000000000000000e+02,6.000000000000000000e+01,4.989999999999999858e+01,2.698999999999999844e+01
1.137236700057983398e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.071000000000000085e+01,2.701999999999999957e+01
1.167160189151763916e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.142000000000000171e+01,2.760000000000000142e+01
1.197075009346008301e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.192999999999999972e+01,2.817999999999999972e+01
1.227027468681335449e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.277000000000000313e+01,2.862999999999999901e+01
1.256980061531066895e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.353999999999999915e+01,2.937000000000000099e+01
1.286883239746093750e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.421999999999999886e+01,2.985999999999999943e+01
1.316835589408874512e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.499000000000000199e+01,3.021000000000000085e+01
1.346788129806518555e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.574000000000000199e+01,3.101999999999999957e+01
1.376739568710327148e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.638000000000000256e+01,3.150000000000000000e+01
1.406644067764282227e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.728000000000000114e+01,3.182000000000000028e+01
1.436572308540344238e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.792999999999999972e+01,3.231000000000000227e+01
1.466490268707275391e+02,1.000000000000000000e+02,6.000000000000000000e+01,5.870000000000000284e+01,3.256000000000000227e+01
1.496409718990325928e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.946999999999999886e+01,3.356000000000000227e+01
1.526344850063323975e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.011999999999999744e+01,3.378999999999999915e+01
1.556296999454498291e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.075999999999999801e+01,3.407999999999999829e+01
1.586249108314514160e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.107999999999999829e+01,3.465999999999999659e+01
1.616198689937591553e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.111999999999999744e+01,3.524000000000000199e+01
1.646102490425109863e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.125000000000000000e+01,3.571999999999999886e+01
1.676025528907775879e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.111999999999999744e+01,3.607999999999999829e+01
1.705953819751739502e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.089000000000000057e+01,3.646000000000000085e+01
1.735870480537414551e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.082999999999999829e+01,3.703999999999999915e+01
1.765785999298095703e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.046999999999999886e+01,3.761999999999999744e+01
1.795694348812103271e+02,0.000000000000000000e+00,6.000000000000000000e+01,6.009000000000000341e+01,3.790999999999999659e+01
1.825634069442749023e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.960000000000000142e+01,3.859000000000000341e+01
1.855558688640594482e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.917999999999999972e+01,3.865999999999999659e+01
1.885510747432708740e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.864000000000000057e+01,3.903999999999999915e+01
1.915437610149383545e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.825000000000000000e+01,3.971999999999999886e+01
1.945389909744262695e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.777000000000000313e+01,4.020000000000000284e+01
1.975299217700958252e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.721999999999999886e+01,4.049000000000000199e+01
2.005251309871673584e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.679999999999999716e+01,4.056000000000000227e+01
2.035203437805175781e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.638000000000000256e+01,4.085000000000000142e+01
2.065155520439147949e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.567000000000000171e+01,4.149000000000000199e+01
2.095102300643920898e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.503000000000000114e+01,4.164999999999999858e+01
2.125016529560089111e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.438000000000000256e+01,4.196999999999999886e+01
2.154932107925415039e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.377000000000000313e+01,4.207000000000000028e+01
2.184875099658966064e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.328999999999999915e+01,4.232999999999999829e+01
2.214827620983123779e+02,0.000000000000000000e+00,6.000000000000000000e+01,5.300000000000000000e+01,4.275000000000000000e+01
2.244750499725341797e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.245000000000000284e+01,4.322999999999999687e+01
2.274687609672546387e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.196000000000000085e+01,4.342000000000000171e+01
2.304625270366668701e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.171000000000000085e+01,4.381000000000000227e+01
2.334577879905700684e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.113000000000000256e+01,4.396999999999999886e+01
2.364508800506591797e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.047999999999999687e+01,4.425999999999999801e+01
2.394461300373077393e+02,0.000000000000000000e+00,1.000000000000000000e+02,5.010000000000000142e+01,4.484000000000000341e+01
2.424413850307464600e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.977000000000000313e+01,4.510000000000000142e+01
2.454365928173065186e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.935000000000000142e+01,4.554999999999999716e+01
2.484318747520446777e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.896999999999999886e+01,4.586999999999999744e+01
2.514220318794250488e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.860999999999999943e+01,4.652000000000000313e+01
2.544173078536987305e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.810000000000000142e+01,4.681000000000000227e+01
2.574125587940216064e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.771000000000000085e+01,4.725999999999999801e+01
2.604067468643188477e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.728999999999999915e+01,4.732000000000000028e+01
2.634020009040832520e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.674000000000000199e+01,4.813000000000000256e+01
2.663925359249114990e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.657999999999999829e+01,4.839000000000000057e+01
2.693874750137329102e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.635999999999999943e+01,4.884000000000000341e+01
2.723776247501373291e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.600000000000000000e+01,4.915999999999999659e+01
2.753686411380767822e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.554999999999999716e+01,4.971000000000000085e+01
2.783612039089202881e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.513000000000000256e+01,4.964000000000000057e+01
2.813551349639892578e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.478000000000000114e+01,5.006000000000000227e+01
2.843503530025482178e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.432999999999999829e+01,5.039000000000000057e+01
2.873455817699432373e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.403999999999999915e+01,5.042000000000000171e+01
2.903378419876098633e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.400000000000000000e+01,5.103000000000000114e+01
2.933330678939819336e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.371000000000000085e+01,5.179999999999999716e+01
2.963282771110534668e+02,0.000000000000000000e+00,1.000000000000000000e+02,4.354999999999999716e+01,5.164000000000000057e+01
2.993206839561462402e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.339000000000000057e+01,5.206000000000000227e+01
3.023157289028167725e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.310000000000000142e+01,5.242000000000000171e+01
3.053061888217926025e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.293999999999999773e+01,5.250999999999999801e+01
3.082985658645629883e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.275000000000000000e+01,5.292999999999999972e+01
3.112895369529724121e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.303999999999999915e+01,5.318999999999999773e+01
3.142819478511810303e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.303999999999999915e+01,5.318999999999999773e+01
3.172771580219268799e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.346000000000000085e+01,5.309000000000000341e+01
3.202724270820617676e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.407000000000000028e+01,5.386999999999999744e+01
3.232635538578033447e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.449000000000000199e+01,5.396000000000000085e+01
3.262538259029388428e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.510000000000000142e+01,5.411999999999999744e+01
3.292490897178649902e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.578000000000000114e+01,5.474000000000000199e+01
3.322396790981292725e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.620000000000000284e+01,5.457999999999999829e+01
3.352345948219299316e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.678000000000000114e+01,5.453999999999999915e+01
3.382298460006713867e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.754999999999999716e+01,5.509000000000000341e+01
3.412199780941009521e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.796999999999999886e+01,5.515999999999999659e+01
3.442151880264282227e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.854999999999999716e+01,5.509000000000000341e+01
3.472103929519653320e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.915999999999999659e+01,5.521999999999999886e+01
3.502048017978668213e+02,8.000000000000000000e+01,1.000000000000000000e+02,4.986999999999999744e+01,5.574000000000000199e+01
3.531993029117584229e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.064000000000000057e+01,5.585999999999999943e+01
3.561924598217010498e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.128999999999999915e+01,5.625000000000000000e+01
3.591870090961456299e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.189999999999999858e+01,5.609000000000000341e+01
3.621803219318389893e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.253999999999999915e+01,5.672999999999999687e+01
3.651755998134613037e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.303000000000000114e+01,5.696000000000000085e+01
3.681689867973327637e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.360999999999999943e+01,5.718999999999999773e+01
3.711642408370971680e+02,8.000000000000000000e+01,1.000000000000000000e+02,5.438000000000000256e+01,5.764000000000000057e+01
3.741544799804687500e+02,8.000000000000000000e+01,2.500000000000000000e+01,5.509000000000000341e+01,5.750999999999999801e+01
3.771462070941925049e+02,8.000000000000000000e+01,2.500000000000000000e+01,5.582999999999999829e+01,5.750999999999999801e+01
3.801414620876312256e+02,8.000000000000000000e+01,2.500000000000000000e+01,5.632000000000000028e+01,5.767000000000000171e+01
3.831367218494415283e+02,8.000000000000000000e+01,2.500000000000000000e+01,5.689999999999999858e+01,5.767000000000000171e+01
3.861276690959930420e+02,8.000000000000000000e+01,2.500000000000000000e+01,5.743999999999999773e+01,5.789000000000000057e+01
3.891200320720672607e+02,9.612341733104774733e+01,2.500000000000000000e+01,5.789000000000000057e+01,5.760000000000000142e+01
3.921151769161224365e+02,9.612341733104774733e+01,2.500000000000000000e+01,5.860000000000000142e+01,5.779999999999999716e+01
3.951079008579254150e+02,9.612341733104774733e+01,2.500000000000000000e+01,5.914999999999999858e+01,5.721999999999999886e+01
3.980992629528045654e+02,9.612341733104774733e+01,2.500000000000000000e+01,5.989000000000000057e+01,5.728000000000000114e+01
4.010944409370422363e+02,9.612341733104774733e+01,2.500000000000000000e+01,6.043999999999999773e+01,5.728000000000000114e+01
4.040896878242492676e+02,9.612341733104774733e+01,6.445562636039849735e+01,6.111999999999999744e+01,5.677000000000000313e+01
4.070836009979248047e+02,9.612341733104774733e+01,6.445562636039849735e+01,6.178999999999999915e+01,5.718999999999999773e+01
4.100756728649139404e+02,9.612341733104774733e+01,6.445562636039849735e+01,6.225000000000000000e+01,5.692999999999999972e+01
4.130677278041839600e+02,9.612341733104774733e+01,6.445562636039849735e+01,6.295000000000000284e+01,5.653999999999999915e+01
4.160586309432983398e+02,9.612341733104774733e+01,6.445562636039849735e+01,6.343999999999999773e+01,5.672999999999999687e+01
4.190538828372955322e+02,1.411035354507080797e+01,6.445562636039849735e+01,6.407999999999999829e+01,5.643999999999999773e+01
4.220490357875823975e+02,1.411035354507080797e+01,6.445562636039849735e+01,6.462999999999999545e+01,5.667000000000000171e+01
4.250442450046539307e+02,1.411035354507080797e+01,6.445562636039849735e+01,6.504999999999999716e+01,5.606000000000000227e+01
4.280344989299774170e+02,1.411035354507080797e+01,6.445562636039849735e+01,6.543999999999999773e+01,5.664000000000000057e+01
4.310296587944030762e+02,1.411035354507080797e+01,6.445562636039849735e+01,6.550000000000000000e+01,5.638000000000000256e+01
4.340245709419250488e+02,1.411035354507080797e+01,4.559443499363732144e+01,6.565999999999999659e+01,5.647999999999999687e+01
4.370154869556427002e+02,1.411035354507080797e+01,4.559443499363732144e+01,6.565999999999999659e+01,5.647999999999999687e+01
4.400063829421997070e+02,1.411035354507080797e+01,4.559443499363732144e+01,6.565999999999999659e+01,5.643999999999999773e+01
4.430008120536804199e+02,1.411035354507080797e+01,4.559443499363732144e+01,6.559999999999999432e+01,5.650999999999999801e+01
4.459960310459136963e+02,1.411035354507080797e+01,4.559443499363732144e+01,6.537000000000000455e+01,5.670000000000000284e+01
4.489912388324737549e+02,9.429837436711927978e+01,4.559443499363732144e+01,6.518000000000000682e+01,5.653999999999999915e+01
4.519833879470825195e+02,9.429837436711927978e+01,4.559443499363732144e+01,6.498000000000000398e+01,5.670000000000000284e+01
4.549786388874053955e+02,9.429837436711927978e+01,4.559443499363732144e+01,6.446999999999999886e+01,5.643999999999999773e+01
4.579738891124725342e+02,9.429837436711927978e+01,4.559443499363732144e+01,6.423999999999999488e+01,5.632000000000000028e+01
